obsHistID,FWHMgeom,fieldDec,fieldRA,filter,fiveSigmaDepth,expMJD
1301599,1.068396,-0.523011,4.658147,u,22.902289,61498.269972
1301614,1.049545,-0.523011,4.658147,u,22.950441,61498.276692
2038623,0.64639,-0.523011,4.658147,z,22.170438,62582.400386
1306305,0.828286,-0.523011,4.658147,g,24.539811,61503.280829
2025617,1.095624,-0.523011,4.658147,z,21.553436,62565.403727
925153,0.884541,-0.523011,4.658147,i,23.495782,60941.024339
2048027,1.144509,-0.523011,4.658147,g,24.14855,62596.27975
2136833,0.752664,-0.523011,4.658147,g,24.76554,62736.02985
2054553,0.63926,-0.523011,4.658147,i,23.756204,62603.250556
907377,0.876289,-0.523011,4.658147,r,24.220202,60905.077617
2025586,1.120305,-0.523011,4.658147,z,21.524987,62565.389745
1313132,0.703918,-0.523011,4.658147,y,21.695359,61514.225943
2058889,0.643454,-0.523011,4.658147,y,21.809376,62608.238176
2063624,0.948479,-0.523011,4.658147,r,23.832918,62616.265182
2063587,0.974663,-0.523011,4.658147,r,23.796531,62616.247884
806938,0.845887,-0.523011,4.658147,g,24.570406,60767.325054
925225,0.954109,-0.523011,4.658147,i,23.340476,60941.060835
2035696,1.015764,-0.523011,4.658147,y,21.274915,62579.313341
907406,0.888016,-0.523011,4.658147,r,24.19259,60905.091883
941538,0.935315,-0.523011,4.658147,r,23.94439,60962.03178
2035713,0.996257,-0.523011,4.658147,y,21.305129,62579.320961
1280488,0.872275,-0.523011,4.658147,r,24.140088,61469.384537
2035732,0.976611,-0.523011,4.658147,y,21.335915,62579.329492
2048064,1.103326,-0.523011,4.658147,g,24.229285,62596.297381
1303522,0.809694,-0.523011,4.658147,g,24.538066,61500.277428
1306334,0.806156,-0.523011,4.658147,g,24.600369,61503.294921
800513,0.657087,-0.523011,4.658147,i,23.743473,60759.301836
807788,0.808416,-0.523011,4.658147,r,24.234507,60768.296372
2058853,0.67191,-0.523011,4.658147,y,21.739231,62608.222045
2032085,0.997021,-0.523011,4.658147,r,23.947244,62575.327557
807763,0.829245,-0.523011,4.658147,r,24.180961,60768.284513
805044,0.79812,-0.523011,4.658147,u,23.234794,60764.278853
776014,0.87029,-0.523011,4.658147,z,21.800211,60724.388253
2032052,1.040003,-0.523011,4.658147,r,23.859125,62575.312329
2027351,1.03675,-0.523011,4.658147,r,21.937381,62567.390732
2050728,0.803589,-0.523011,4.658147,r,24.169984,62599.25184
1288871,0.998523,-0.523011,4.658147,r,23.911718,61479.315225
800466,0.698641,-0.523011,4.658147,i,23.627199,60759.27931
807746,0.844517,-0.523011,4.658147,r,24.142529,60768.276866
1279642,0.786695,-0.523011,4.658147,i,23.541454,61468.370869
938156,0.879549,-0.523011,4.658147,z,22.890997,60958.009142
2136770,0.754214,-0.523011,4.658147,g,24.761016,62735.998065
1282956,1.268459,-0.523011,4.658147,u,22.761118,61472.354598
807720,0.871035,-0.523011,4.658147,r,24.077379,60768.265177
813489,0.841085,-0.523011,4.658147,i,23.498839,60774.363237
2059932,0.576574,-0.523011,4.658147,y,21.958118,62609.255863
1270646,0.619199,-0.523011,4.658147,y,21.713307,61457.39617
813457,0.848026,-0.523011,4.658147,i,23.192742,60774.348274
2027316,1.066076,-0.523011,4.658147,r,23.924133,62567.374949
1282136,1.064407,-0.523011,4.658147,r,23.941933,61471.385755
938124,0.85148,-0.523011,4.658147,z,21.835961,60957.994346
2059918,0.583931,-0.523011,4.658147,y,21.937916,62609.249599
789303,0.810774,-0.523011,4.658147,i,23.520111,60742.343603
